index,Matchup URL,Matchup,Teams,Opponent,Round Win Pct,Map Win Pct
0,https://www.vlr.gg/353177/mibr-vs-leviat-n-champions-tour-2024-americas-stage-2-w1,MIBR_vs_LEVIATÁN,A,B,0.4032258064516129,0.2222222222222222
1,https://www.vlr.gg/353177/mibr-vs-leviat-n-champions-tour-2024-americas-stage-2-w1,MIBR_vs_LEVIATÁN,A,Others,0.38782051282051283,0.13333333333333333
2,https://www.vlr.gg/353177/mibr-vs-leviat-n-champions-tour-2024-americas-stage-2-w1,MIBR_vs_LEVIATÁN,B,A,0.5967741935483871,0.7777777777777778
3,https://www.vlr.gg/353177/mibr-vs-leviat-n-champions-tour-2024-americas-stage-2-w1,MIBR_vs_LEVIATÁN,B,Others,0.5212765957446809,0.6190476190476191
0,https://www.vlr.gg/353178/sentinels-vs-nrg-esports-champions-tour-2024-americas-stage-2-w1,Sentinels_vs_NRG Esports,A,B,0.4885057471264368,0.5
1,https://www.vlr.gg/353178/sentinels-vs-nrg-esports-champions-tour-2024-americas-stage-2-w1,Sentinels_vs_NRG Esports,A,Others,0.5363321799307958,0.5384615384615384
2,https://www.vlr.gg/353178/sentinels-vs-nrg-esports-champions-tour-2024-americas-stage-2-w1,Sentinels_vs_NRG Esports,B,A,0.5114942528735632,0.5
3,https://www.vlr.gg/353178/sentinels-vs-nrg-esports-champions-tour-2024-americas-stage-2-w1,Sentinels_vs_NRG Esports,B,Others,0.5261437908496732,0.6
0,https://www.vlr.gg/353179/furia-vs-100-thieves-champions-tour-2024-americas-stage-2-w1,FURIA_vs_100 Thieves,A,B,0.4626865671641791,0.3333333333333333
1,https://www.vlr.gg/353179/furia-vs-100-thieves-champions-tour-2024-americas-stage-2-w1,FURIA_vs_100 Thieves,A,Others,0.37898089171974525,0.125
2,https://www.vlr.gg/353179/furia-vs-100-thieves-champions-tour-2024-americas-stage-2-w1,FURIA_vs_100 Thieves,B,A,0.5373134328358209,0.6666666666666666
3,https://www.vlr.gg/353179/furia-vs-100-thieves-champions-tour-2024-americas-stage-2-w1,FURIA_vs_100 Thieves,B,Others,0.5833333333333334,0.7777777777777778
0,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1,LOUD_vs_Evil Geniuses,A,B,0.472636815920398,0.4
1,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1,LOUD_vs_Evil Geniuses,A,Others,0.4376731301939058,0.3888888888888889
2,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1,LOUD_vs_Evil Geniuses,B,A,0.527363184079602,0.6
3,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1,LOUD_vs_Evil Geniuses,B,Others,0.45323741007194246,0.42105263157894735
0,https://www.vlr.gg/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1,G2 Esports_vs_Cloud9,A,B,0.5957446808510638,1.0
1,https://www.vlr.gg/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1,G2 Esports_vs_Cloud9,A,Others,0.4964705882352941,0.45
2,https://www.vlr.gg/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1,G2 Esports_vs_Cloud9,B,A,0.40425531914893614,0.0
3,https://www.vlr.gg/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1,G2 Esports_vs_Cloud9,B,Others,0.5182291666666666,0.5555555555555556
0,https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_FURIA,A,B,0.5070422535211268,0.3333333333333333
1,https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_FURIA,A,Others,0.45885286783042395,0.42105263157894735
2,https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_FURIA,B,A,0.49295774647887325,0.6666666666666666
3,https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_FURIA,B,Others,0.401840490797546,0.25
0,https://www.vlr.gg/353183/sentinels-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_KRÜ Esports,A,B,0.5299145299145299,0.6
1,https://www.vlr.gg/353183/sentinels-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_KRÜ Esports,A,Others,0.5416666666666666,0.6
2,https://www.vlr.gg/353183/sentinels-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_KRÜ Esports,B,A,0.4700854700854701,0.4
3,https://www.vlr.gg/353183/sentinels-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_KRÜ Esports,B,Others,0.5280898876404494,0.5882352941176471
0,https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2,LOUD_vs_MIBR,A,B,0.5606060606060606,0.6666666666666666
1,https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2,LOUD_vs_MIBR,A,Others,0.4506172839506173,0.375
2,https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2,LOUD_vs_MIBR,B,A,0.4393939393939394,0.3333333333333333
3,https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2,LOUD_vs_MIBR,B,Others,0.39365079365079364,0.13333333333333333
0,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,A,B,0.4868421052631579,0.3333333333333333
1,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,A,Others,0.4648318042813456,0.4375
2,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,B,A,0.5131578947368421,0.6666666666666666
3,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,B,Others,0.43636363636363634,0.3333333333333333
0,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,A,B,0.5,0.5
1,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,A,Others,0.501628664495114,0.4666666666666667
2,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,B,A,0.5,0.5
3,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,B,Others,0.496551724137931,0.5
0,https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_Cloud9,A,B,0.366412213740458,0.14285714285714285
