match_url,team_a,odd_a,team_b,odd_b
https://www.vlr.gg/429379/team-liquid-vs-koi-champions-tour-2025-emea-kickoff-ur1,Team Liquid,1.48,Movistar KOI(KOI),3.0833
https://www.vlr.gg/429380/karmine-corp-vs-natus-vincere-champions-tour-2025-emea-kickoff-ur1,Karmine Corp,1.92,Natus Vincere,2.087
https://www.vlr.gg/429381/bbl-esports-vs-giantx-champions-tour-2025-emea-kickoff-ur1,BBL Esports,2.4,GIANTX,1.7143
https://www.vlr.gg/429382/apeks-vs-gentle-mates-champions-tour-2025-emea-kickoff-ur1,Apeks,3.0,Gentle Mates,1.5
https://www.vlr.gg/429383/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-ubqf,FUT Esports,1.42,Team Liquid,3.381
https://www.vlr.gg/429384/team-vitality-vs-karmine-corp-champions-tour-2025-emea-kickoff-ubqf,Team Vitality,1.48,Karmine Corp,3.0833
https://www.vlr.gg/429385/fnatic-vs-bbl-esports-champions-tour-2025-emea-kickoff-ubqf,FNATIC,1.4545,BBL Esports,3.2
https://www.vlr.gg/429386/team-heretics-vs-gentle-mates-champions-tour-2025-emea-kickoff-ubqf,Team Heretics,1.22,Gentle Mates,5.5455
https://www.vlr.gg/429387/fut-esports-vs-team-vitality-champions-tour-2025-emea-kickoff-ubsf,FUT Esports,2.4706,Team Vitality,1.68
https://www.vlr.gg/429388/bbl-esports-vs-team-heretics-champions-tour-2025-emea-kickoff-ubsf,BBL Esports,3.381,Team Heretics,1.42
https://www.vlr.gg/429389/team-vitality-vs-team-heretics-champions-tour-2025-emea-kickoff-ubf,Team Vitality,1.58,Team Heretics,2.7241
https://www.vlr.gg/429390/team-vitality-vs-team-liquid-champions-tour-2025-emea-kickoff-gf,Team Vitality,1.32,Team Liquid,4.125
https://www.vlr.gg/429391/gentle-mates-vs-koi-champions-tour-2025-emea-kickoff-lr1,Gentle Mates,1.55,Movistar KOI(KOI),2.8182
https://www.vlr.gg/429392/fnatic-vs-natus-vincere-champions-tour-2025-emea-kickoff-lr1,FNATIC,1.38,Natus Vincere,3.6316
https://www.vlr.gg/429393/karmine-corp-vs-giantx-champions-tour-2025-emea-kickoff-lr1,Karmine Corp,1.4762,GIANTX,3.1
https://www.vlr.gg/429394/team-liquid-vs-apeks-champions-tour-2025-emea-kickoff-lr1,Team Liquid,1.35,Apeks,3.8571
https://www.vlr.gg/429395/gentle-mates-vs-fnatic-champions-tour-2025-emea-kickoff-lr2,Gentle Mates,3.2222,FNATIC,1.45
https://www.vlr.gg/429396/giantx-vs-team-liquid-champions-tour-2025-emea-kickoff-lr2,GIANTX,2.1364,Team Liquid,1.88
https://www.vlr.gg/429397/fut-esports-vs-fnatic-champions-tour-2025-emea-kickoff-lr3,FUT Esports,2.2,FNATIC,1.8333
https://www.vlr.gg/429398/bbl-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr3,BBL Esports,1.9524,Team Liquid,2.05
https://www.vlr.gg/429400/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr4,FUT Esports,1.3571,Team Liquid,3.8
https://www.vlr.gg/429401/team-heretics-vs-team-liquid-champions-tour-2025-emea-kickoff-lbf,Team Heretics,1.5556,Team Liquid,2.8
https://www.vlr.gg/430514/boom-esports-vs-t1-champions-tour-2025-pacific-kickoff-ur1,BOOM Esports,17.6667,T1,1.06
https://www.vlr.gg/430515/zeta-division-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-ur1,ZETA DIVISION,2.5385,Nongshim RedForce,1.65
https://www.vlr.gg/430516/global-esports-vs-team-secret-champions-tour-2025-pacific-kickoff-ur1,Global Esports,1.9,Team Secret,2.1111
https://www.vlr.gg/430517/detonation-focusme-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ur1,DetonatioN FocusMe,1.9091,Rex Regum Qeon,2.1
https://www.vlr.gg/430518/paper-rex-vs-t1-champions-tour-2025-pacific-kickoff-ubqf,Paper Rex,1.8333,T1,2.2
https://www.vlr.gg/430519/talon-vs-global-esports-champions-tour-2025-pacific-kickoff-ubqf,TALON,2.35,Global Esports,1.7407
https://www.vlr.gg/430520/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ubqf,Gen.G,3.5,Rex Regum Qeon,1.4
https://www.vlr.gg/430521/drx-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-ubqf,DRX,1.58,Nongshim RedForce,2.7241
https://www.vlr.gg/430522/t1-vs-talon-champions-tour-2025-pacific-kickoff-ubsf,T1,1.22,TALON,5.5455
https://www.vlr.gg/430523/gen-g-vs-drx-champions-tour-2025-pacific-kickoff-ubsf,Gen.G,1.5882,DRX,2.7
https://www.vlr.gg/430524/t1-vs-drx-champions-tour-2025-pacific-kickoff-ubf,T1,2.3889,DRX,1.72
https://www.vlr.gg/430525/drx-vs-t1-champions-tour-2025-pacific-kickoff-gf,DRX,1.65,T1,2.5385
https://www.vlr.gg/430526/nongshim-redforce-vs-boom-esports-champions-tour-2025-pacific-kickoff-lr1,Nongshim RedForce,1.4,BOOM Esports,3.5
https://www.vlr.gg/430527/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-kickoff-lr1,Rex Regum Qeon,1.32,Team Secret,4.125
https://www.vlr.gg/430528/global-esports-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr1,Global Esports,2.0,DetonatioN FocusMe,2.0
https://www.vlr.gg/430529/paper-rex-vs-zeta-division-champions-tour-2025-pacific-kickoff-lr1,Paper Rex,1.08,ZETA DIVISION,13.5
https://www.vlr.gg/430530/nongshim-redforce-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-lr2,Nongshim RedForce,1.62,Rex Regum Qeon,2.6129
https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2,DetonatioN FocusMe,3.5,Paper Rex,1.4
https://www.vlr.gg/430532/talon-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-lr3,TALON,2.0,Nongshim RedForce,2.0
https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3,Gen.G,1.35,DetonatioN FocusMe,3.8571
https://www.vlr.gg/430534/talon-vs-gen-g-champions-tour-2025-pacific-kickoff-lr4,TALON,4.5714,Gen.G,1.28
https://www.vlr.gg/430535/t1-vs-gen-g-champions-tour-2025-pacific-kickoff-lbf,T1,2.3,Gen.G,1.7692
https://www.vlr.gg/427991/evil-geniuses-vs-loud-champions-tour-2025-americas-kickoff-ur1,Evil Geniuses,1.9524,LOUD,2.05
https://www.vlr.gg/427992/mibr-vs-100-thieves-champions-tour-2025-americas-kickoff-ur1,MIBR,2.2821,100 Thieves,1.78
https://www.vlr.gg/427993/nrg-esports-vs-cloud9-champions-tour-2025-americas-kickoff-ur1,NRG Esports,1.4167,Cloud9,3.4
https://www.vlr.gg/427994/2game-esports-vs-furia-champions-tour-2025-americas-kickoff-ur1,2Game Esports,1.625,FURIA,2.6
https://www.vlr.gg/427995/kr-esports-vs-loud-champions-tour-2025-americas-kickoff-ubqf,KRÜ Esports,1.9091,LOUD,2.1
https://www.vlr.gg/427996/sentinels-vs-100-thieves-champions-tour-2025-americas-kickoff-ubqf,Sentinels,1.62,100 Thieves,2.6129
https://www.vlr.gg/427997/g2-esports-vs-cloud9-champions-tour-2025-americas-kickoff-ubqf,G2 Esports,1.38,Cloud9,3.6316
https://www.vlr.gg/427998/leviat-n-vs-furia-champions-tour-2025-americas-kickoff-ubqf,LEVIATÁN,1.32,FURIA,4.125
https://www.vlr.gg/427999/loud-vs-sentinels-champions-tour-2025-americas-kickoff-ubsf,LOUD,3.0,Sentinels,1.5
https://www.vlr.gg/428000/g2-esports-vs-leviat-n-champions-tour-2025-americas-kickoff-ubsf,G2 Esports,1.38,LEVIATÁN,3.6316
https://www.vlr.gg/428001/sentinels-vs-g2-esports-champions-tour-2025-americas-kickoff-ubf,Sentinels,3.0833,G2 Esports,1.48
https://www.vlr.gg/428002/g2-esports-vs-sentinels-champions-tour-2025-americas-kickoff-gf,G2 Esports,1.22,Sentinels,5.5455
https://www.vlr.gg/428003/furia-vs-evil-geniuses-champions-tour-2025-americas-kickoff-lr1,FURIA,1.7692,Evil Geniuses,2.3
https://www.vlr.gg/428004/cloud9-vs-mibr-champions-tour-2025-americas-kickoff-lr1,Cloud9,2.0,MIBR,2.0
https://www.vlr.gg/428005/100-thieves-vs-nrg-esports-champions-tour-2025-americas-kickoff-lr1,100 Thieves,1.9524,NRG Esports,2.05
https://www.vlr.gg/428006/kr-esports-vs-2game-esports-champions-tour-2025-americas-kickoff-lr1,KRÜ Esports,1.32,2Game Esports,4.125
https://www.vlr.gg/428007/evil-geniuses-vs-mibr-champions-tour-2025-americas-kickoff-lr2,Evil Geniuses,2.25,MIBR,1.8
https://www.vlr.gg/428008/nrg-esports-vs-kr-esports-champions-tour-2025-americas-kickoff-lr2,NRG Esports,1.5556,KRÜ Esports,2.8
https://www.vlr.gg/428009/leviat-n-vs-mibr-champions-tour-2025-americas-kickoff-lr3,LEVIATÁN,2.3333,MIBR,1.75
https://www.vlr.gg/428010/loud-vs-kr-esports-champions-tour-2025-americas-kickoff-lr3,LOUD,1.8696,KRÜ Esports,2.15
https://www.vlr.gg/428011/mibr-vs-kr-esports-champions-tour-2025-americas-kickoff-lr4,MIBR,1.95,KRÜ Esports,2.0526
https://www.vlr.gg/428012/sentinels-vs-mibr-champions-tour-2025-americas-kickoff-lbf,Sentinels,1.55,MIBR,2.8182
https://www.vlr.gg/430837/xi-lai-gaming-vs-wolves-esports-champions-tour-2025-china-kickoff-ur1,Xi Lai Gaming,2.7,Wolves Esports,1.5882
https://www.vlr.gg/430838/tyloo-vs-titan-esports-club-champions-tour-2025-china-kickoff-ur1,TYLOO,2.1364,Titan Esports Club,1.88
https://www.vlr.gg/430839/jdg-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ur1,JD Mall JDG Esports(JDG Esports),3.381,Dragon Ranger Gaming,1.42
https://www.vlr.gg/430840/all-gamers-vs-nova-esports-champions-tour-2025-china-kickoff-ur1,All Gamers,5.5455,Nova Esports,1.22
https://www.vlr.gg/430841/bilibili-gaming-vs-xi-lai-gaming-champions-tour-2025-china-kickoff-ubqf,Bilibili Gaming,1.72,Xi Lai Gaming,2.3889
https://www.vlr.gg/430842/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-kickoff-ubqf,FunPlus Phoenix,1.17,Titan Esports Club,6.8824
https://www.vlr.gg/430843/trace-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ubqf,Trace Esports,1.45,Dragon Ranger Gaming,3.2222
https://www.vlr.gg/430844/edward-gaming-vs-nova-esports-champions-tour-2025-china-kickoff-ubqf,EDward Gaming,1.17,Nova Esports,6.8824
https://www.vlr.gg/430845/bilibili-gaming-vs-funplus-phoenix-champions-tour-2025-china-kickoff-ubsf,Bilibili Gaming,2.1,FunPlus Phoenix,1.9091
https://www.vlr.gg/430846/trace-esports-vs-edward-gaming-champions-tour-2025-china-kickoff-ubsf,Trace Esports,2.6,EDward Gaming,1.625
https://www.vlr.gg/430847/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-kickoff-ubf,Bilibili Gaming,3.8571,Trace Esports,1.35
https://www.vlr.gg/430848/trace-esports-vs-edward-gaming-champions-tour-2025-china-kickoff-gf,Trace Esports,3.381,EDward Gaming,1.42
https://www.vlr.gg/430849/nova-esports-vs-wolves-esports-champions-tour-2025-china-kickoff-lr1,Nova Esports,2.1,Wolves Esports,1.9091
https://www.vlr.gg/430850/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-kickoff-lr1,Dragon Ranger Gaming,1.3,TYLOO,4.3333
https://www.vlr.gg/430851/titan-esports-club-vs-jdg-esports-champions-tour-2025-china-kickoff-lr1,Titan Esports Club,2.8182,JD Mall JDG Esports(JDG Esports),2.8182
https://www.vlr.gg/430853/xi-lai-gaming-vs-all-gamers-champions-tour-2025-china-kickoff-lr1,Xi Lai Gaming,1.12,All Gamers,9.3333
https://www.vlr.gg/430854/nova-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr2,Nova Esports,1.5882,Dragon Ranger Gaming,2.7
https://www.vlr.gg/430855/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-kickoff-lr2,JD Mall JDG Esports(JDG Esports),3.8571,Xi Lai Gaming,1.35
https://www.vlr.gg/430856/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr3,FunPlus Phoenix,2.4706,Dragon Ranger Gaming,1.68
https://www.vlr.gg/430857/edward-gaming-vs-xi-lai-gaming-champions-tour-2025-china-kickoff-lr3,EDward Gaming,2.9,Xi Lai Gaming,1.5263
https://www.vlr.gg/430858/dragon-ranger-gaming-vs-edward-gaming-champions-tour-2025-china-kickoff-lr4,Dragon Ranger Gaming,3.8571,EDward Gaming,1.35
https://www.vlr.gg/430860/bilibili-gaming-vs-edward-gaming-champions-tour-2025-china-kickoff-lbf,Bilibili Gaming,6.0,EDward Gaming,1.2
