match_url,team_a,odd_a,team_b,odd_b
https://www.vlr.gg/353177/mibr-vs-leviat-n-champions-tour-2024-americas-stage-2-w1,MIBR,7.9061,LEVIATÁN,1.1448
https://www.vlr.gg/353178/sentinels-vs-nrg-esports-champions-tour-2024-americas-stage-2-w1,Sentinels,1.62,NRG Esports,2.6129
https://www.vlr.gg/353179/furia-vs-100-thieves-champions-tour-2024-americas-stage-2-w1,FURIA,6.804,100 Thieves,1.1723
https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1,LOUD,1.4941,Evil Geniuses,3.024
https://www.vlr.gg/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1,G2 Esports,1.782,Cloud9,2.2788
https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2,Evil Geniuses,1.5336,FURIA,2.8741
https://www.vlr.gg/353183/sentinels-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,Sentinels,1.512,KRÜ Esports,2.9531
https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2,LOUD,1.2204,MIBR,5.5372
https://www.vlr.gg/353185/leviat-n-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,LEVIATÁN,1.998,100 Thieves,2.002
https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports,2.4837,G2 Esports,1.674
https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2,Sentinels,1.3608,Cloud9,3.7716
https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2,Evil Geniuses,2.5586,LEVIATÁN,1.6416
https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2,LOUD,1.3222,FURIA,4.104
https://www.vlr.gg/353190/mibr-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,MIBR,4.7936,100 Thieves,1.2636
https://www.vlr.gg/353191/nrg-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports,2.484,KRÜ Esports,1.6739
https://www.vlr.gg/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3,G2 Esports,1.404,KRÜ Esports,3.4752
https://www.vlr.gg/353193/loud-vs-leviat-n-champions-tour-2024-americas-stage-2-w3,LOUD,3.8571,LEVIATÁN,1.35
https://www.vlr.gg/353194/mibr-vs-furia-champions-tour-2024-americas-stage-2-w3,MIBR,2.6711,FURIA,1.5984
https://www.vlr.gg/353195/nrg-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w3,NRG Esports,1.8621,Cloud9,2.16
https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3,Evil Geniuses,2.166,100 Thieves,1.8576
https://www.vlr.gg/353197/cloud9-vs-kr-esports-champions-tour-2024-americas-stage-2-w4,Cloud9,1.9314,KRÜ Esports,2.0736
https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4,Evil Geniuses,1.2273,MIBR,5.4
https://www.vlr.gg/353199/leviat-n-vs-furia-champions-tour-2024-americas-stage-2-w4,LEVIATÁN,1.2096,FURIA,5.771
https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4,LOUD,3.132,100 Thieves,1.469
https://www.vlr.gg/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4,Sentinels,1.7886,G2 Esports,2.268
https://www.vlr.gg/371266/kr-esports-vs-cloud9-champions-tour-2024-americas-stage-2-ko,KRÜ Esports,1.62,Cloud9,2.6129
https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko,Sentinels,1.5219,100 Thieves,2.916
https://www.vlr.gg/371268/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-ubsf,LEVIATÁN,1.3608,KRÜ Esports,3.7716
https://www.vlr.gg/371269/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-ubsf,G2 Esports,2.0736,100 Thieves,1.9314
https://www.vlr.gg/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf,LEVIATÁN,1.5882,G2 Esports,2.7
https://www.vlr.gg/371271/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-2-gf,G2 Esports,1.7564,LEVIATÁN,2.322
https://www.vlr.gg/371272/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-lr1,KRÜ Esports,2.592,100 Thieves,1.6281
https://www.vlr.gg/371273/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-lbf,LEVIATÁN,1.242,KRÜ Esports,5.1322
https://www.vlr.gg/314622/cloud9-vs-leviat-n-champions-tour-2024-americas-stage-1-w1,Cloud9,3.672,LEVIATÁN,1.3743
https://www.vlr.gg/314623/nrg-esports-vs-loud-champions-tour-2024-americas-stage-1-w1,NRG Esports,1.566,LOUD,2.7668
https://www.vlr.gg/314624/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w1,G2 Esports,1.9224,Evil Geniuses,2.0841
https://www.vlr.gg/314625/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-1-w1,Sentinels,1.4256,100 Thieves,3.3496
https://www.vlr.gg/314626/kr-esports-vs-furia-champions-tour-2024-americas-stage-1-w1,KRÜ Esports,1.7064,FURIA,2.4156
https://www.vlr.gg/314628/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w2,G2 Esports,1.9705,100 Thieves,2.0304
https://www.vlr.gg/314629/sentinels-vs-leviat-n-champions-tour-2024-americas-stage-1-w2,Sentinels,1.4259,LEVIATÁN,3.348
https://www.vlr.gg/314630/kr-esports-vs-mibr-champions-tour-2024-americas-stage-1-w2,KRÜ Esports,1.9224,MIBR,2.0841
https://www.vlr.gg/314631/nrg-esports-vs-furia-champions-tour-2024-americas-stage-1-w2,NRG Esports,1.1664,FURIA,7.0096
