match_url,team_a,odd_a,team_b,odd_b
https://www.vlr.gg/353177/mibr-vs-leviat-n-champions-tour-2024-americas-stage-2-w1,MIBR,17.6667,LEVIATÁN,1.06
https://www.vlr.gg/353178/sentinels-vs-nrg-esports-champions-tour-2024-americas-stage-2-w1,Sentinels,1.5,NRG Esports,3.0
https://www.vlr.gg/353179/furia-vs-100-thieves-champions-tour-2024-americas-stage-2-w1,FURIA,6.3,100 Thieves,1.1887
https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1,LOUD,1.5556,Evil Geniuses,2.8
https://www.vlr.gg/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1,G2 Esports,1.65,Cloud9,2.5385
https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2,Evil Geniuses,1.42,FURIA,3.381
https://www.vlr.gg/353183/sentinels-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,Sentinels,1.4,KRÜ Esports,3.5
https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2,LOUD,1.13,MIBR,8.6923
https://www.vlr.gg/353185/leviat-n-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,LEVIATÁN,1.85,100 Thieves,2.1765
https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports,2.8182,G2 Esports,1.55
https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2,Sentinels,1.26,Cloud9,4.8462
https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2,Evil Geniuses,2.9231,LEVIATÁN,1.52
https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2,LOUD,1.3571,FURIA,3.8
https://www.vlr.gg/353190/mibr-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,MIBR,6.8824,100 Thieves,1.17
https://www.vlr.gg/353191/nrg-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports,2.3,KRÜ Esports,1.7692
https://www.vlr.gg/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3,G2 Esports,1.3,KRÜ Esports,4.3333
https://www.vlr.gg/353193/loud-vs-leviat-n-champions-tour-2024-americas-stage-2-w3,LOUD,5.0,LEVIATÁN,1.25
https://www.vlr.gg/353194/mibr-vs-furia-champions-tour-2024-americas-stage-2-w3,MIBR,3.0833,FURIA,1.48
https://www.vlr.gg/353195/nrg-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w3,NRG Esports,2.0,Cloud9,2.0
https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3,Evil Geniuses,2.3889,100 Thieves,1.72
https://www.vlr.gg/353197/cloud9-vs-kr-esports-champions-tour-2024-americas-stage-2-w4,Cloud9,2.087,KRÜ Esports,1.92
https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4,Evil Geniuses,1.25,MIBR,5.0
https://www.vlr.gg/353199/leviat-n-vs-furia-champions-tour-2024-americas-stage-2-w4,LEVIATÁN,1.12,FURIA,9.3333
https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4,LOUD,2.9,100 Thieves,1.5263
https://www.vlr.gg/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4,Sentinels,1.9091,G2 Esports,2.1
https://www.vlr.gg/371266/kr-esports-vs-cloud9-champions-tour-2024-americas-stage-2-ko,KRÜ Esports,1.5,Cloud9,3.0
https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko,Sentinels,1.5882,100 Thieves,2.7
https://www.vlr.gg/371268/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-ubsf,LEVIATÁN,1.26,KRÜ Esports,4.8462
https://www.vlr.gg/371269/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-ubsf,G2 Esports,1.92,100 Thieves,2.087
https://www.vlr.gg/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf,LEVIATÁN,1.6667,G2 Esports,2.5
https://www.vlr.gg/371271/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-2-gf,G2 Esports,1.8696,LEVIATÁN,2.15
https://www.vlr.gg/371272/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-lr1,KRÜ Esports,2.4,100 Thieves,1.7143
https://www.vlr.gg/371273/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-lbf,LEVIATÁN,1.15,KRÜ Esports,7.6667
https://www.vlr.gg/359603/titan-esports-club-vs-jd-gaming-champions-tour-2024-china-stage-2-w1,Titan Esports Club,2.1765,JDG Esports,1.85
https://www.vlr.gg/359604/all-gamers-vs-tyloo-champions-tour-2024-china-stage-2-w1,All Gamers,1.65,TYLOO,2.5385
https://www.vlr.gg/359605/bilibili-gaming-vs-wolves-esports-champions-tour-2024-china-stage-2-w1,Bilibili Gaming,1.45,Wolves Esports,3.2222
https://www.vlr.gg/359606/dragon-ranger-gaming-vs-nova-esports-champions-tour-2024-china-stage-2-w2,Dragon Ranger Gaming,1.3571,Nova Esports,3.8
https://www.vlr.gg/359607/funplus-phoenix-vs-trace-esports-champions-tour-2024-china-stage-2-w2,FunPlus Phoenix,1.3333,Trace Esports,4.0
https://www.vlr.gg/359608/titan-esports-club-vs-all-gamers-champions-tour-2024-china-stage-2-w2,Titan Esports Club,2.8182,All Gamers,1.55
https://www.vlr.gg/359609/edward-gaming-vs-wolves-esports-champions-tour-2024-china-stage-2-w2,EDward Gaming,1.1887,Wolves Esports,6.3
https://www.vlr.gg/359610/tyloo-vs-trace-esports-champions-tour-2024-china-stage-2-w2,TYLOO,11.0,Trace Esports,1.1
https://www.vlr.gg/359611/nova-esports-vs-bilibili-gaming-champions-tour-2024-china-stage-2-w2,Nova Esports,3.5,Bilibili Gaming,1.4
https://www.vlr.gg/359612/jdg-esports-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w3,JDG Esports,7.6667,FunPlus Phoenix,1.15
https://www.vlr.gg/359613/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2024-china-stage-2-w3,EDward Gaming,1.2632,Dragon Ranger Gaming,4.8
https://www.vlr.gg/359614/nova-esports-vs-wolves-esports-champions-tour-2024-china-stage-2-w3,Nova Esports,2.15,Wolves Esports,1.8696
https://www.vlr.gg/359615/jdg-esports-vs-trace-esports-champions-tour-2024-china-stage-2-w3,JDG Esports,2.7,Trace Esports,1.5882
https://www.vlr.gg/359616/titan-esports-club-vs-tyloo-champions-tour-2024-china-stage-2-w3,Titan Esports Club,2.5385,TYLOO,1.65
https://www.vlr.gg/359617/all-gamers-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w3,All Gamers,4.8462,FunPlus Phoenix,1.26
https://www.vlr.gg/359618/bilibili-gaming-vs-dragon-ranger-gaming-champions-tour-2024-china-stage-2-w3,Bilibili Gaming,1.65,Dragon Ranger Gaming,2.5385
https://www.vlr.gg/359619/edward-gaming-vs-nova-esports-champions-tour-2024-china-stage-2-w3,EDward Gaming,1.22,Nova Esports,5.5455
https://www.vlr.gg/359621/all-gamers-vs-trace-esports-champions-tour-2024-china-stage-2-w4,All Gamers,3.0833,Trace Esports,1.48
https://www.vlr.gg/359622/titan-esports-club-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w4,Titan Esports Club,10.0,FunPlus Phoenix,1.1111
https://www.vlr.gg/359623/tyloo-vs-jdg-esports-champions-tour-2024-china-stage-2-w4,TYLOO,2.9231,JDG Esports,1.52
https://www.vlr.gg/359624/dragon-ranger-gaming-vs-wolves-esports-champions-tour-2024-china-stage-2-w4,Dragon Ranger Gaming,1.7692,Wolves Esports,2.3
https://www.vlr.gg/359625/trace-esports-vs-titan-esports-club-champions-tour-2024-china-stage-2-w4,Trace Esports,1.2,Titan Esports Club,6.0
https://www.vlr.gg/359626/edward-gaming-vs-bilibili-gaming-champions-tour-2024-china-stage-2-w4,EDward Gaming,1.52,Bilibili Gaming,2.9231
https://www.vlr.gg/359627/jdg-esports-vs-all-gamers-champions-tour-2024-china-stage-2-w4,JDG Esports,1.58,All Gamers,2.7241
https://www.vlr.gg/359628/tyloo-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w4,TYLOO,5.8,FunPlus Phoenix,1.2083
https://www.vlr.gg/370722/jdg-esports-vs-bilibili-gaming-champions-tour-2024-china-stage-2-ko,JDG Esports,2.2195,Bilibili Gaming,1.82
https://www.vlr.gg/370723/trace-esports-vs-all-gamers-champions-tour-2024-china-stage-2-ko,Trace Esports,1.05,All Gamers,21.0
https://www.vlr.gg/370724/edward-gaming-vs-bilibili-gaming-champions-tour-2024-china-stage-2-ubsf,EDward Gaming,1.28,Bilibili Gaming,4.5714
https://www.vlr.gg/370725/funplus-phoenix-vs-trace-esports-champions-tour-2024-china-stage-2-ubsf,FunPlus Phoenix,2.6129,Trace Esports,1.62
https://www.vlr.gg/370726/trace-esports-vs-edward-gaming-champions-tour-2024-china-stage-2-ubf,Trace Esports,3.6316,EDward Gaming,1.38
https://www.vlr.gg/370727/edward-gaming-vs-funplus-phoenix-champions-tour-2024-china-stage-2-gf,EDward Gaming,1.48,FunPlus Phoenix,3.0833
https://www.vlr.gg/370728/funplus-phoenix-vs-bilibili-gaming-champions-tour-2024-china-stage-2-lr1,FunPlus Phoenix,1.92,Bilibili Gaming,2.087
https://www.vlr.gg/370729/trace-esports-vs-funplus-phoenix-champions-tour-2024-china-stage-2-lbf,Trace Esports,2.6129,FunPlus Phoenix,1.62
https://www.vlr.gg/314340/zeta-division-vs-drx-champions-tour-2024-pacific-stage-2-w1,ZETA DIVISION,13.5,DRX,1.08
https://www.vlr.gg/314341/team-secret-vs-bleed-champions-tour-2024-pacific-stage-2-w1,Team Secret,1.65,BLEED,2.5385
https://www.vlr.gg/314342/t1-vs-gen-g-champions-tour-2024-pacific-stage-2-w1,T1,5.0,Gen.G,1.25
https://www.vlr.gg/314343/paper-rex-vs-talon-esports-champions-tour-2024-pacific-stage-2-w1,Paper Rex,1.06,TALON,17.6667
https://www.vlr.gg/314344/rex-regum-qeon-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w1,Rex Regum Qeon,1.32,DetonatioN FocusMe,4.125
https://www.vlr.gg/314345/team-secret-vs-global-esports-champions-tour-2024-pacific-stage-2-w1,Team Secret,1.35,Global Esports,3.8571
https://www.vlr.gg/314346/talon-esports-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-w2,TALON,2.1,Rex Regum Qeon,1.9091
https://www.vlr.gg/314347/paper-rex-vs-drx-champions-tour-2024-pacific-stage-2-w2,Paper Rex,1.42,DRX,3.381
https://www.vlr.gg/314348/global-esports-vs-bleed-champions-tour-2024-pacific-stage-2-w2,Global Esports,2.2,BLEED,1.8333
https://www.vlr.gg/314349/detonation-focusme-vs-zeta-division-champions-tour-2024-pacific-stage-2-w2,DetonatioN FocusMe,2.8,ZETA DIVISION,1.5556
https://www.vlr.gg/314350/drx-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-w2,DRX,1.4348,Rex Regum Qeon,3.3
https://www.vlr.gg/314351/team-secret-vs-t1-champions-tour-2024-pacific-stage-2-w2,Team Secret,2.4,T1,1.7143
https://www.vlr.gg/314352/talon-esports-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w3,TALON,1.17,DetonatioN FocusMe,6.8824
https://www.vlr.gg/314353/zeta-division-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-w3,ZETA DIVISION,5.5455,Rex Regum Qeon,1.22
https://www.vlr.gg/314354/global-esports-vs-t1-champions-tour-2024-pacific-stage-2-w3,Global Esports,5.5455,T1,1.22
https://www.vlr.gg/314355/bleed-vs-gen-g-champions-tour-2024-pacific-stage-2-w3,BLEED,51.0,Gen.G,1.02
https://www.vlr.gg/314356/paper-rex-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w3,Paper Rex,1.02,DetonatioN FocusMe,51.0
https://www.vlr.gg/314357/drx-vs-talon-esports-champions-tour-2024-pacific-stage-2-w3,DRX,1.58,TALON,2.7241
https://www.vlr.gg/314358/paper-rex-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-w4,Paper Rex,1.17,Rex Regum Qeon,6.8824
https://www.vlr.gg/314359/gen-g-vs-global-esports-champions-tour-2024-pacific-stage-2-w4,Gen.G,1.04,Global Esports,26.0
https://www.vlr.gg/314360/drx-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w4,DRX,1.1,DetonatioN FocusMe,11.0
https://www.vlr.gg/314361/zeta-division-vs-talon-esports-champions-tour-2024-pacific-stage-2-w4,ZETA DIVISION,5.0,TALON,1.25
https://www.vlr.gg/314362/gen-g-vs-team-secret-champions-tour-2024-pacific-stage-2-w4,Gen.G,1.4762,Team Secret,3.1
https://www.vlr.gg/314363/paper-rex-vs-zeta-division-champions-tour-2024-pacific-stage-2-w4,Paper Rex,1.02,ZETA DIVISION,51.0
https://www.vlr.gg/314364/t1-vs-bleed-champions-tour-2024-pacific-stage-2-w4,T1,1.3,BLEED,4.3333
https://www.vlr.gg/365316/gen-g-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-ko,Gen.G,1.3,Rex Regum Qeon,4.3333
https://www.vlr.gg/365317/team-secret-vs-talon-esports-champions-tour-2024-pacific-stage-2-ko,Team Secret,1.8333,TALON,2.2
https://www.vlr.gg/365318/paper-rex-vs-gen-g-champions-tour-2024-pacific-stage-2-ubsf,Paper Rex,2.0526,Gen.G,1.95
https://www.vlr.gg/365319/drx-vs-talon-esports-champions-tour-2024-pacific-stage-2-ubsf,DRX,1.65,TALON,2.5385
https://www.vlr.gg/365320/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-ubf,Gen.G,1.32,DRX,4.125
https://www.vlr.gg/365321/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-gf,Gen.G,1.28,DRX,4.5714
https://www.vlr.gg/365322/paper-rex-vs-talon-esports-champions-tour-2024-pacific-stage-2-lr1,Paper Rex,1.15,TALON,7.6667
https://www.vlr.gg/365323/drx-vs-paper-rex-champions-tour-2024-pacific-stage-2-lf,DRX,1.3,Paper Rex,4.3333
https://www.vlr.gg/353153/fut-esports-vs-koi-champions-tour-2024-emea-stage-2-w1,FUT Esports,1.15,KOI,7.6667
https://www.vlr.gg/353154/bbl-esports-vs-fnatic-champions-tour-2024-emea-stage-2-w1,BBL Esports,4.125,FNATIC,1.32
https://www.vlr.gg/353155/team-heretics-vs-natus-vincere-champions-tour-2024-emea-stage-2-w1,Team Heretics,1.52,Natus Vincere,2.9231
https://www.vlr.gg/353156/team-vitality-vs-team-liquid-champions-tour-2024-emea-stage-2-w1,Team Vitality,2.15,Team Liquid,1.8696
